run_id,iso3,year,chain,step,value_lcu_mn,item_source_id,basis,period_basis,period_conversion_method,snapshot_sha256,quality_grade,notes
20260909T180316Z,DEU,2023,financing,A_cg_cash_requirement,27176.57300384,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2023,financing,B_s1311_b9,-92720.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2023,financing,C_s13_nlb,-105249.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2024,financing,A_cg_cash_requirement,33320.159861830005,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2024,financing,B_s1311_b9,-60916.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2024,financing,C_s13_nlb,-115295.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2025,financing,A_cg_cash_requirement,66892.54104298001,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2025,financing,B_s1311_b9,-79561.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2025,financing,C_s13_nlb,-119147.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,1991,interest,A_cg_cash,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht 2025 annex 4.5 Insgesamt (Verzinsung, net of interest income; excl. swaps); max |diff| vs Datenportal Zinsen Dec YTD = 0.5 EUR mn"
